Desert Eagle | Urban DDPAT (Factory New)
★ StatTrak™ Ursus Knife | Ultraviolet (Field-Tested)
★ StatTrak™ Ursus Knife | Ultraviolet (Well-Worn)
★ StatTrak™ Ursus Knife | Ultraviolet (Battle-Scarred)
★ Ursus Knife | Urban Masked (Factory New)
★ Ursus Knife | Urban Masked (Minimal Wear)
★ Ursus Knife | Urban Masked (Field-Tested)
★ Ursus Knife | Urban Masked (Well-Worn)
★ Ursus Knife | Urban Masked (Battle-Scarred)
★ StatTrak™ Ursus Knife | Urban Masked (Factory New)
★ StatTrak™ Ursus Knife | Urban Masked (Minimal Wear)
★ StatTrak™ Ursus Knife | Urban Masked (Field-Tested)
★ StatTrak™ Ursus Knife | Urban Masked (Well-Worn)
★ StatTrak™ Ursus Knife | Urban Masked (Battle-Scarred)
★ Ursus Knife | Scorched (Factory New)
★ Ursus Knife | Scorched (Minimal Wear)
★ Ursus Knife | Scorched (Field-Tested)
★ Ursus Knife | Scorched (Well-Worn)
★ Ursus Knife | Scorched (Battle-Scarred)
★ StatTrak™ Ursus Knife | Scorched (Factory New)
★ StatTrak™ Ursus Knife | Scorched (Minimal Wear)
★ StatTrak™ Ursus Knife | Scorched (Field-Tested)
★ StatTrak™ Ursus Knife | Scorched (Well-Worn)
★ StatTrak™ Ursus Knife | Scorched (Battle-Scarred)
★ Ursus Knife | Tiger Tooth (Factory New)
★ Ursus Knife | Tiger Tooth (Minimal Wear)
★ StatTrak™ Ursus Knife | Tiger Tooth (Factory New)
★ StatTrak™ Ursus Knife | Tiger Tooth (Minimal Wear)
★ Ursus Knife | Marble Fade (Factory New)
★ Ursus Knife | Marble Fade (Minimal Wear)
★ StatTrak™ Ursus Knife | Marble Fade (Factory New)
★ StatTrak™ Ursus Knife | Marble Fade (Minimal Wear)
★ Ursus Knife | Rust Coat (Well-Worn)
★ Ursus Knife | Rust Coat (Battle-Scarred)
★ StatTrak™ Ursus Knife | Rust Coat (Well-Worn)
★ StatTrak™ Ursus Knife | Rust Coat (Battle-Scarred)
★ Ursus Knife | Doppler (Factory New)
★ Ursus Knife | Doppler (Minimal Wear)
★ StatTrak™ Ursus Knife | Doppler (Factory New)
★ StatTrak™ Ursus Knife | Doppler (Minimal Wear)
★ Ursus Knife | Doppler (Factory New)
★ Ursus Knife | Doppler (Minimal Wear)
★ StatTrak™ Ursus Knife | Doppler (Factory New)
★ StatTrak™ Ursus Knife | Doppler (Minimal Wear)
★ Ursus Knife | Doppler (Factory New)
★ Ursus Knife | Doppler (Minimal Wear)
★ StatTrak™ Ursus Knife | Doppler (Factory New)
★ StatTrak™ Ursus Knife | Doppler (Minimal Wear)
★ Ursus Knife | Doppler (Factory New)
★ Ursus Knife | Doppler (Minimal Wear)
★ StatTrak™ Ursus Knife | Doppler (Factory New)
★ StatTrak™ Ursus Knife | Doppler (Minimal Wear)
★ Ursus Knife | Doppler (Factory New)
★ Ursus Knife | Doppler (Minimal Wear)
★ StatTrak™ Ursus Knife | Doppler (Factory New)
★ StatTrak™ Ursus Knife | Doppler (Minimal Wear)
★ Ursus Knife | Doppler (Factory New)
★ Ursus Knife | Doppler (Minimal Wear)
★ StatTrak™ Ursus Knife | Doppler (Factory New)
★ StatTrak™ Ursus Knife | Doppler (Minimal Wear)
★ Ursus Knife | Doppler (Factory New)
★ Ursus Knife | Doppler (Minimal Wear)
★ StatTrak™ Ursus Knife | Doppler (Factory New)
★ StatTrak™ Ursus Knife | Doppler (Minimal Wear)
★ Ursus Knife | Night Stripe (Factory New)
★ Ursus Knife | Night Stripe (Minimal Wear)
★ Ursus Knife | Night Stripe (Field-Tested)
★ Ursus Knife | Night Stripe (Well-Worn)
★ Ursus Knife | Night Stripe (Battle-Scarred)
★ StatTrak™ Ursus Knife | Night Stripe (Factory New)
★ StatTrak™ Ursus Knife | Night Stripe (Minimal Wear)
★ StatTrak™ Ursus Knife | Night Stripe (Field-Tested)
★ StatTrak™ Ursus Knife | Night Stripe (Well-Worn)
★ StatTrak™ Ursus Knife | Night Stripe (Battle-Scarred)
★ Ursus Knife | Damascus Steel (Factory New)
★ Ursus Knife | Damascus Steel (Minimal Wear)
★ Ursus Knife | Damascus Steel (Field-Tested)
★ Ursus Knife | Damascus Steel (Well-Worn)
★ Ursus Knife | Damascus Steel (Battle-Scarred)
★ StatTrak™ Ursus Knife | Damascus Steel (Factory New)
★ StatTrak™ Ursus Knife | Damascus Steel (Minimal Wear)
★ StatTrak™ Ursus Knife | Damascus Steel (Field-Tested)
★ StatTrak™ Ursus Knife | Damascus Steel (Well-Worn)
★ StatTrak™ Ursus Knife | Damascus Steel (Battle-Scarred)
★ Navaja Knife | Forest DDPAT (Factory New)
★ Navaja Knife | Forest DDPAT (Minimal Wear)
★ Navaja Knife | Forest DDPAT (Field-Tested)
★ Navaja Knife | Forest DDPAT (Well-Worn)
★ Navaja Knife | Forest DDPAT (Battle-Scarred)
★ StatTrak™ Navaja Knife | Forest DDPAT (Factory New)
★ StatTrak™ Navaja Knife | Forest DDPAT (Minimal Wear)
★ StatTrak™ Navaja Knife | Forest DDPAT (Field-Tested)
★ StatTrak™ Navaja Knife | Forest DDPAT (Well-Worn)
★ StatTrak™ Navaja Knife | Forest DDPAT (Battle-Scarred)
★ Navaja Knife | Crimson Web (Factory New)
★ Navaja Knife | Crimson Web (Minimal Wear)
★ Navaja Knife | Crimson Web (Field-Tested)
★ Navaja Knife | Crimson Web (Well-Worn)
★ Navaja Knife | Crimson Web (Battle-Scarred)
★ StatTrak™ Navaja Knife | Crimson Web (Factory New)
★ StatTrak™ Navaja Knife | Crimson Web (Minimal Wear)
★ StatTrak™ Navaja Knife | Crimson Web (Field-Tested)
★ StatTrak™ Navaja Knife | Crimson Web (Well-Worn)
★ StatTrak™ Navaja Knife | Crimson Web (Battle-Scarred)
★ Navaja Knife | Fade (Factory New)
★ Navaja Knife | Fade (Minimal Wear)
★ StatTrak™ Navaja Knife | Fade (Factory New)
★ StatTrak™ Navaja Knife | Fade (Minimal Wear)
★ Navaja Knife | Blue Steel (Factory New)
★ Navaja Knife | Blue Steel (Minimal Wear)
★ Navaja Knife | Blue Steel (Field-Tested)
★ Navaja Knife | Blue Steel (Well-Worn)
★ Navaja Knife | Blue Steel (Battle-Scarred)
★ StatTrak™ Navaja Knife | Blue Steel (Factory New)
★ StatTrak™ Navaja Knife | Blue Steel (Minimal Wear)
★ StatTrak™ Navaja Knife | Blue Steel (Field-Tested)
★ StatTrak™ Navaja Knife | Blue Steel (Well-Worn)
★ StatTrak™ Navaja Knife | Blue Steel (Battle-Scarred)
★ Navaja Knife | Stained (Factory New)
★ Navaja Knife | Stained (Minimal Wear)
★ Navaja Knife | Stained (Field-Tested)
★ Navaja Knife | Stained (Well-Worn)
★ Navaja Knife | Stained (Battle-Scarred)
★ StatTrak™ Navaja Knife | Stained (Factory New)
★ StatTrak™ Navaja Knife | Stained (Minimal Wear)
★ StatTrak™ Navaja Knife | Stained (Field-Tested)
★ StatTrak™ Navaja Knife | Stained (Well-Worn)
★ StatTrak™ Navaja Knife | Stained (Battle-Scarred)
★ Navaja Knife | Case Hardened (Factory New)
★ Navaja Knife | Case Hardened (Minimal Wear)
★ Navaja Knife | Case Hardened (Field-Tested)
★ Navaja Knife | Case Hardened (Well-Worn)
★ Navaja Knife | Case Hardened (Battle-Scarred)
★ StatTrak™ Navaja Knife | Case Hardened (Factory New)
★ StatTrak™ Navaja Knife | Case Hardened (Minimal Wear)
★ StatTrak™ Navaja Knife | Case Hardened (Field-Tested)
★ StatTrak™ Navaja Knife | Case Hardened (Well-Worn)
★ StatTrak™ Navaja Knife | Case Hardened (Battle-Scarred)
★ Navaja Knife | Slaughter (Factory New)
★ Navaja Knife | Slaughter (Minimal Wear)
★ Navaja Knife | Slaughter (Field-Tested)
★ StatTrak™ Navaja Knife | Slaughter (Factory New)
★ StatTrak™ Navaja Knife | Slaughter (Minimal Wear)
★ StatTrak™ Navaja Knife | Slaughter (Field-Tested)
★ Navaja Knife | Safari Mesh (Factory New)
★ Navaja Knife | Safari Mesh (Minimal Wear)
★ Navaja Knife | Safari Mesh (Field-Tested)
★ Navaja Knife | Safari Mesh (Well-Worn)
★ Navaja Knife | Safari Mesh (Battle-Scarred)
★ StatTrak™ Navaja Knife | Safari Mesh (Factory New)
★ StatTrak™ Navaja Knife | Safari Mesh (Minimal Wear)
★ StatTrak™ Navaja Knife | Safari Mesh (Field-Tested)
★ StatTrak™ Navaja Knife | Safari Mesh (Well-Worn)
★ StatTrak™ Navaja Knife | Safari Mesh (Battle-Scarred)
★ Navaja Knife | Boreal Forest (Factory New)
★ Navaja Knife | Boreal Forest (Minimal Wear)
★ Navaja Knife | Boreal Forest (Field-Tested)
★ Navaja Knife | Boreal Forest (Well-Worn)
★ Navaja Knife | Boreal Forest (Battle-Scarred)
★ StatTrak™ Navaja Knife | Boreal Forest (Factory New)
★ StatTrak™ Navaja Knife | Boreal Forest (Minimal Wear)
★ StatTrak™ Navaja Knife | Boreal Forest (Field-Tested)
★ StatTrak™ Navaja Knife | Boreal Forest (Well-Worn)
★ StatTrak™ Navaja Knife | Boreal Forest (Battle-Scarred)
★ Navaja Knife | Ultraviolet (Factory New)
★ Navaja Knife | Ultraviolet (Minimal Wear)
★ Navaja Knife | Ultraviolet (Field-Tested)
★ Navaja Knife | Ultraviolet (Well-Worn)
★ Navaja Knife | Ultraviolet (Battle-Scarred)
★ StatTrak™ Navaja Knife | Ultraviolet (Factory New)
★ StatTrak™ Navaja Knife | Ultraviolet (Minimal Wear)
★ StatTrak™ Navaja Knife | Ultraviolet (Field-Tested)
★ StatTrak™ Navaja Knife | Ultraviolet (Well-Worn)
★ StatTrak™ Navaja Knife | Ultraviolet (Battle-Scarred)
★ Navaja Knife | Urban Masked (Factory New)
★ Navaja Knife | Urban Masked (Minimal Wear)
★ Navaja Knife | Urban Masked (Field-Tested)
★ Navaja Knife | Urban Masked (Well-Worn)
★ Navaja Knife | Urban Masked (Battle-Scarred)
★ StatTrak™ Navaja Knife | Urban Masked (Factory New)
★ StatTrak™ Navaja Knife | Urban Masked (Minimal Wear)
★ StatTrak™ Navaja Knife | Urban Masked (Field-Tested)
★ StatTrak™ Navaja Knife | Urban Masked (Well-Worn)
★ StatTrak™ Navaja Knife | Urban Masked (Battle-Scarred)
★ Navaja Knife | Scorched (Factory New)
★ Navaja Knife | Scorched (Minimal Wear)
★ Navaja Knife | Scorched (Field-Tested)
★ Navaja Knife | Scorched (Well-Worn)
★ Navaja Knife | Scorched (Battle-Scarred)
★ StatTrak™ Navaja Knife | Scorched (Factory New)
★ StatTrak™ Navaja Knife | Scorched (Minimal Wear)
★ StatTrak™ Navaja Knife | Scorched (Field-Tested)
★ StatTrak™ Navaja Knife | Scorched (Well-Worn)
★ StatTrak™ Navaja Knife | Scorched (Battle-Scarred)
★ Navaja Knife | Tiger Tooth (Factory New)
★ Navaja Knife | Tiger Tooth (Minimal Wear)
★ StatTrak™ Navaja Knife | Tiger Tooth (Factory New)
★ StatTrak™ Navaja Knife | Tiger Tooth (Minimal Wear)
★ Navaja Knife | Marble Fade (Factory New)
★ Navaja Knife | Marble Fade (Minimal Wear)
★ StatTrak™ Navaja Knife | Marble Fade (Factory New)
★ StatTrak™ Navaja Knife | Marble Fade (Minimal Wear)
★ Navaja Knife | Rust Coat (Well-Worn)
★ Navaja Knife | Rust Coat (Battle-Scarred)
★ StatTrak™ Navaja Knife | Rust Coat (Well-Worn)
★ StatTrak™ Navaja Knife | Rust Coat (Battle-Scarred)
★ Navaja Knife | Doppler (Factory New)
★ Navaja Knife | Doppler (Minimal Wear)
★ StatTrak™ Navaja Knife | Doppler (Factory New)
★ StatTrak™ Navaja Knife | Doppler (Minimal Wear)
★ Navaja Knife | Doppler (Factory New)
★ Navaja Knife | Doppler (Minimal Wear)
★ StatTrak™ Navaja Knife | Doppler (Factory New)
★ StatTrak™ Navaja Knife | Doppler (Minimal Wear)
★ Navaja Knife | Doppler (Factory New)
★ Navaja Knife | Doppler (Minimal Wear)
★ StatTrak™ Navaja Knife | Doppler (Factory New)
★ StatTrak™ Navaja Knife | Doppler (Minimal Wear)
★ Navaja Knife | Doppler (Factory New)
★ Navaja Knife | Doppler (Minimal Wear)
★ StatTrak™ Navaja Knife | Doppler (Factory New)
★ StatTrak™ Navaja Knife | Doppler (Minimal Wear)
★ Navaja Knife | Doppler (Factory New)
★ Navaja Knife | Doppler (Minimal Wear)
★ StatTrak™ Navaja Knife | Doppler (Factory New)
★ StatTrak™ Navaja Knife | Doppler (Minimal Wear)
★ Navaja Knife | Doppler (Factory New)
★ Navaja Knife | Doppler (Minimal Wear)
★ StatTrak™ Navaja Knife | Doppler (Factory New)
★ StatTrak™ Navaja Knife | Doppler (Minimal Wear)
★ Navaja Knife | Doppler (Factory New)
★ Navaja Knife | Doppler (Minimal Wear)
★ StatTrak™ Navaja Knife | Doppler (Factory New)
★ StatTrak™ Navaja Knife | Doppler (Minimal Wear)
★ Navaja Knife | Night Stripe (Factory New)
★ Navaja Knife | Night Stripe (Minimal Wear)
★ Navaja Knife | Night Stripe (Field-Tested)
★ Navaja Knife | Night Stripe (Well-Worn)
★ Navaja Knife | Night Stripe (Battle-Scarred)
★ StatTrak™ Navaja Knife | Night Stripe (Factory New)
★ StatTrak™ Navaja Knife | Night Stripe (Minimal Wear)
★ StatTrak™ Navaja Knife | Night Stripe (Field-Tested)
★ StatTrak™ Navaja Knife | Night Stripe (Well-Worn)
★ StatTrak™ Navaja Knife | Night Stripe (Battle-Scarred)
★ Navaja Knife | Damascus Steel (Factory New)
★ Navaja Knife | Damascus Steel (Minimal Wear)
★ Navaja Knife | Damascus Steel (Field-Tested)
★ Navaja Knife | Damascus Steel (Well-Worn)
★ Navaja Knife | Damascus Steel (Battle-Scarred)
★ StatTrak™ Navaja Knife | Damascus Steel (Factory New)
★ StatTrak™ Navaja Knife | Damascus Steel (Minimal Wear)
★ StatTrak™ Navaja Knife | Damascus Steel (Field-Tested)
★ StatTrak™ Navaja Knife | Damascus Steel (Well-Worn)
★ StatTrak™ Navaja Knife | Damascus Steel (Battle-Scarred)
★ Nomad Knife | Forest DDPAT (Factory New)
★ Nomad Knife | Forest DDPAT (Minimal Wear)
★ Nomad Knife | Forest DDPAT (Field-Tested)
★ Nomad Knife | Forest DDPAT (Well-Worn)
★ Nomad Knife | Forest DDPAT (Battle-Scarred)
★ StatTrak™ Nomad Knife | Forest DDPAT (Factory New)
★ StatTrak™ Nomad Knife | Forest DDPAT (Minimal Wear)
★ StatTrak™ Nomad Knife | Forest DDPAT (Field-Tested)
★ StatTrak™ Nomad Knife | Forest DDPAT (Well-Worn)
★ StatTrak™ Nomad Knife | Forest DDPAT (Battle-Scarred)
★ Nomad Knife | Crimson Web (Factory New)
★ Nomad Knife | Crimson Web (Minimal Wear)
★ Nomad Knife | Crimson Web (Field-Tested)
★ Nomad Knife | Crimson Web (Well-Worn)
★ Nomad Knife | Crimson Web (Battle-Scarred)
★ StatTrak™ Nomad Knife | Crimson Web (Factory New)
★ StatTrak™ Nomad Knife | Crimson Web (Minimal Wear)
★ StatTrak™ Nomad Knife | Crimson Web (Field-Tested)
★ StatTrak™ Nomad Knife | Crimson Web (Well-Worn)
★ StatTrak™ Nomad Knife | Crimson Web (Battle-Scarred)
★ Nomad Knife | Fade (Factory New)
★ Nomad Knife | Fade (Minimal Wear)
★ StatTrak™ Nomad Knife | Fade (Factory New)
★ StatTrak™ Nomad Knife | Fade (Minimal Wear)
★ Nomad Knife | Blue Steel (Factory New)
★ Nomad Knife | Blue Steel (Minimal Wear)
★ Nomad Knife | Blue Steel (Field-Tested)
★ Nomad Knife | Blue Steel (Well-Worn)
★ Nomad Knife | Blue Steel (Battle-Scarred)
★ StatTrak™ Nomad Knife | Blue Steel (Factory New)
★ StatTrak™ Nomad Knife | Blue Steel (Minimal Wear)
★ StatTrak™ Nomad Knife | Blue Steel (Field-Tested)
★ StatTrak™ Nomad Knife | Blue Steel (Well-Worn)
★ StatTrak™ Nomad Knife | Blue Steel (Battle-Scarred)
★ Nomad Knife | Stained (Factory New)
★ Nomad Knife | Stained (Minimal Wear)
★ Nomad Knife | Stained (Field-Tested)
★ Nomad Knife | Stained (Well-Worn)
★ Nomad Knife | Stained (Battle-Scarred)
★ StatTrak™ Nomad Knife | Stained (Factory New)
★ StatTrak™ Nomad Knife | Stained (Minimal Wear)
★ StatTrak™ Nomad Knife | Stained (Field-Tested)
★ StatTrak™ Nomad Knife | Stained (Well-Worn)
★ StatTrak™ Nomad Knife | Stained (Battle-Scarred)
★ Nomad Knife | Case Hardened (Factory New)
★ Nomad Knife | Case Hardened (Minimal Wear)
★ Nomad Knife | Case Hardened (Field-Tested)
★ Nomad Knife | Case Hardened (Well-Worn)
★ Nomad Knife | Case Hardened (Battle-Scarred)
★ StatTrak™ Nomad Knife | Case Hardened (Factory New)
★ StatTrak™ Nomad Knife | Case Hardened (Minimal Wear)
★ StatTrak™ Nomad Knife | Case Hardened (Field-Tested)
★ StatTrak™ Nomad Knife | Case Hardened (Well-Worn)
★ StatTrak™ Nomad Knife | Case Hardened (Battle-Scarred)
★ Nomad Knife | Slaughter (Factory New)
★ Nomad Knife | Slaughter (Minimal Wear)
★ Nomad Knife | Slaughter (Field-Tested)
★ StatTrak™ Nomad Knife | Slaughter (Factory New)
★ StatTrak™ Nomad Knife | Slaughter (Minimal Wear)
★ StatTrak™ Nomad Knife | Slaughter (Field-Tested)
★ Nomad Knife | Safari Mesh (Factory New)
★ Nomad Knife | Safari Mesh (Minimal Wear)
★ Nomad Knife | Safari Mesh (Field-Tested)
★ Nomad Knife | Safari Mesh (Well-Worn)
★ Nomad Knife | Safari Mesh (Battle-Scarred)
★ StatTrak™ Nomad Knife | Safari Mesh (Factory New)
★ StatTrak™ Nomad Knife | Safari Mesh (Minimal Wear)
★ StatTrak™ Nomad Knife | Safari Mesh (Field-Tested)
★ StatTrak™ Nomad Knife | Safari Mesh (Well-Worn)
★ StatTrak™ Nomad Knife | Safari Mesh (Battle-Scarred)
★ Nomad Knife | Boreal Forest (Factory New)
★ Nomad Knife | Boreal Forest (Minimal Wear)
★ Nomad Knife | Boreal Forest (Field-Tested)
★ Nomad Knife | Boreal Forest (Well-Worn)
★ Nomad Knife | Boreal Forest (Battle-Scarred)
★ StatTrak™ Nomad Knife | Boreal Forest (Factory New)
★ StatTrak™ Nomad Knife | Boreal Forest (Minimal Wear)
★ StatTrak™ Nomad Knife | Boreal Forest (Field-Tested)
★ StatTrak™ Nomad Knife | Boreal Forest (Well-Worn)
★ StatTrak™ Nomad Knife | Boreal Forest (Battle-Scarred)
★ Nomad Knife | Urban Masked (Factory New)
★ Nomad Knife | Urban Masked (Minimal Wear)
★ Nomad Knife | Urban Masked (Field-Tested)
★ Nomad Knife | Urban Masked (Well-Worn)
★ Nomad Knife | Urban Masked (Battle-Scarred)
★ StatTrak™ Nomad Knife | Urban Masked (Factory New)
★ StatTrak™ Nomad Knife | Urban Masked (Minimal Wear)
★ StatTrak™ Nomad Knife | Urban Masked (Field-Tested)
★ StatTrak™ Nomad Knife | Urban Masked (Well-Worn)
★ StatTrak™ Nomad Knife | Urban Masked (Battle-Scarred)
★ Nomad Knife | Scorched (Factory New)
★ Nomad Knife | Scorched (Minimal Wear)
★ Nomad Knife | Scorched (Field-Tested)
★ Nomad Knife | Scorched (Well-Worn)
★ Nomad Knife | Scorched (Battle-Scarred)
★ StatTrak™ Nomad Knife | Scorched (Factory New)
★ StatTrak™ Nomad Knife | Scorched (Minimal Wear)
★ StatTrak™ Nomad Knife | Scorched (Field-Tested)
★ StatTrak™ Nomad Knife | Scorched (Well-Worn)
★ StatTrak™ Nomad Knife | Scorched (Battle-Scarred)
★ Nomad Knife | Night Stripe (Factory New)
★ Nomad Knife | Night Stripe (Minimal Wear)
★ Nomad Knife | Night Stripe (Field-Tested)
★ Nomad Knife | Night Stripe (Well-Worn)
★ Nomad Knife | Night Stripe (Battle-Scarred)
★ StatTrak™ Nomad Knife | Night Stripe (Factory New)
★ StatTrak™ Nomad Knife | Night Stripe (Minimal Wear)
★ StatTrak™ Nomad Knife | Night Stripe (Field-Tested)
★ StatTrak™ Nomad Knife | Night Stripe (Well-Worn)
★ StatTrak™ Nomad Knife | Night Stripe (Battle-Scarred)
★ Stiletto Knife | Forest DDPAT (Factory New)
★ Stiletto Knife | Forest DDPAT (Minimal Wear)
★ Stiletto Knife | Forest DDPAT (Field-Tested)
★ Stiletto Knife | Forest DDPAT (Well-Worn)
★ Stiletto Knife | Forest DDPAT (Battle-Scarred)
★ StatTrak™ Stiletto Knife | Forest DDPAT (Factory New)
★ StatTrak™ Stiletto Knife | Forest DDPAT (Minimal Wear)
★ StatTrak™ Stiletto Knife | Forest DDPAT (Field-Tested)
★ StatTrak™ Stiletto Knife | Forest DDPAT (Well-Worn)
★ StatTrak™ Stiletto Knife | Forest DDPAT (Battle-Scarred)
★ Stiletto Knife | Crimson Web (Factory New)
★ Stiletto Knife | Crimson Web (Minimal Wear)
★ Stiletto Knife | Crimson Web (Field-Tested)
★ Stiletto Knife | Crimson Web (Well-Worn)
★ Stiletto Knife | Crimson Web (Battle-Scarred)
★ StatTrak™ Stiletto Knife | Crimson Web (Factory New)
★ StatTrak™ Stiletto Knife | Crimson Web (Minimal Wear)
★ StatTrak™ Stiletto Knife | Crimson Web (Field-Tested)
★ StatTrak™ Stiletto Knife | Crimson Web (Well-Worn)
